num_players,hand_type,hero_hand_probability,hero_win_given_type_probability,hero_hand_and_win_probability,hero_overall_win_probability
2,High Card,0.1749,0.17695826186392224,0.03095,0.4953
2,One Pair,0.4389,0.42207792207792205,0.18525,0.4953
2,Two Pair,0.2337,0.6538296961916987,0.1528,0.4953
2,Three of a Kind,0.0494,0.7358299595141701,0.03635,0.4953
2,Straight,0.0477,0.8574423480083857,0.0409,0.4953
2,Flush,0.0291,0.8780068728522337,0.02555,0.4953
2,Full House,0.0247,0.8987854251012146,0.0222,0.4953
2,Four of a Kind,0.0016,0.8125,0.0013,0.4953
2,Straight Flush,0.0,0.0,0.0,0.4953
2,Royal Flush,0.0,0.0,0.0,0.4953
9,High Card,0.1736,0.0,0.0,0.11123888888888894
9,One Pair,0.4308,0.021084803466419066,0.009083333333333332,0.11123888888888894
9,Two Pair,0.2428,0.11919961559582648,0.028941666666666668,0.11123888888888894
9,Three of a Kind,0.0498,0.40210843373493976,0.020025,0.11123888888888894
9,Straight,0.0446,0.49314897857498774,0.021994444444444455,0.11123888888888894
9,Flush,0.0295,0.46440677966101696,0.0137,0.11123888888888894
9,Full House,0.0276,0.5940016103059582,0.016394444444444444,0.11123888888888894
9,Four of a Kind,0.0012,0.8333333333333334,0.001,0.11123888888888894
9,Straight Flush,0.0001,1.0,0.0001,0.11123888888888894
9,Royal Flush,0.0,0.0,0.0,0.11123888888888894
