num_players,hand_type,hero_hand_probability,hero_win_given_type_probability,hero_hand_and_win_probability,hero_overall_win_probability
2,Low Card,0.25194,0.2075097245375883,0.05228,0.49944
2,Broken Pair,0.18876,0.36628522992159357,0.06914,0.49944
2,Faux Flush,0.06758,0.5235276709085528,0.03538,0.49944
2,Mirror Hand,0.19192,0.5651313047102959,0.10846,0.49944
2,Color Disassociate,0.05556,0.72264218862491,0.04015,0.49944
2,Gap,0.0219,0.7721461187214612,0.01691,0.49944
2,Almost Full House,0.06914,0.7075498987561469,0.04892,0.49944
2,Color Clash,0.14706,0.8336733306133551,0.1226,0.49944
2,Dead Royal,0.00608,0.9111842105263158,0.00554,0.49944
2,Perfect Misdeal,6e-05,1.0,6e-05,0.49944
3,Low Card,0.25156,0.06153601526474941,0.015480000000000362,0.33130000000003385
3,Broken Pair,0.19314,0.1751751751751732,0.03383333333333295,0.33130000000003385
3,Faux Flush,0.06712,0.29792411601112534,0.019996666666666732,0.33130000000003385
3,Mirror Hand,0.1911,0.35363683935113105,0.06758000000000114,0.33130000000003385
3,Color Disassociate,0.05428,0.5418816015720934,0.02941333333333323,0.33130000000003385
3,Gap,0.02306,0.646718704827985,0.014913333333333334,0.33130000000003385
3,Almost Full House,0.06496,0.5660919540229818,0.0367733333333329,0.33130000000003385
3,Color Clash,0.14876,0.7253966119924665,0.10790999999999933,0.33130000000003385
3,Dead Royal,0.00596,0.900447427293065,0.005366666666666667,0.33130000000003385
3,Perfect Misdeal,6e-05,0.5555555555555555,3.333333333333333e-05,0.33130000000003385
4,Low Card,0.25028,0.02069681956209046,0.00518,0.24899000000000673
4,Broken Pair,0.1934,0.09734574284729453,0.018826666666666762,0.24899000000000673
4,Faux Flush,0.06634,0.17947944930157766,0.011906666666666663,0.24899000000000673
4,Mirror Hand,0.1887,0.23030383324500792,0.043458333333332995,0.24899000000000673
4,Color Disassociate,0.05362,0.41470844212358654,0.02223666666666671,0.24899000000000673
4,Gap,0.02308,0.5345898324667822,0.012338333333333333,0.24899000000000673
4,Almost Full House,0.06642,0.4795242396868414,0.03185,0.24899000000000673
4,Color Clash,0.15198,0.6445694608939773,0.09796166666666666,0.24899000000000673
4,Dead Royal,0.00612,0.8474945533769065,0.0051866666666666675,0.24899000000000673
4,Perfect Misdeal,6e-05,0.75,4.5e-05,0.24899000000000673
5,Low Card,0.2465,0.007610547667342864,0.001876000000000016,0.20074066666666882
5,Broken Pair,0.18946,0.05574967451352944,0.010562333333333288,0.20074066666666882
